CODIGO,DESCRIPCION,PVP,PVD
#HERA-S-164021730W,Luminaria Lineal de Sobreponer. LED 100W. 110-277V. 4.000ï½°K. Dim. 0-10V. 4488 mm,830840,670084
#HERA-S-164043254W,Luminaria Lineal de Sobreponer. LED 200W. 4.000ï½°K. 110-277V. Dim. 0-10V. 4488 mm,968824,781345
#LECCO-041013254Wï£°,Luminaria Lineal con difusor Opal. LED 50W. 4.000ï½°K. Dim.0-10V. 120-277V. Color,198908,160420
#POSTE-R3-3.0M,"Poste de hierro de 3"" de 3 mts. Base de anclaje de 190x190 mm. Color negro.",262242,211485
#V32-LED-010130,Luminaria Hermetica Lente Opal. LED 50W. 4.000ï½°K.  Dim. 0-10V. 120-277V.,230924,186218
#V32T-L2X18W-4K-AM,Luminaria hermetica para tubo LED. 2x18W. 120V. 4.000ï½°K. Tubo American,65210,55378
#V32T-L2X18W-6K-AM,Luminaria hermetica para tubo LED. 2x18W. 120V. 6.500ï½°K. Tubo Americanlite.,66050,53277
#V32T-L2X25-4K-AM,Luminaria Hermetica Tubo LED 2x25W. 100-277V. 4.000ï½°K. AmericanLite 6.500 Lumene,160672,129580
#V32T-L2X25-6K-AM,Luminaria Hermetica Tubo LED 2x25W. 100-277V. 6.000ï½°K. AmericanLite 6.500 Lumene,152857,123277
0000201,PANEL SOLAR BIFACIAL 610W GCL I,1057731,833361
000825,Bombillo Sodio 70W rosca E-27 Philips.,69244,54622
001760,"Cable 1/16"" 7x7, Alma Acero Inoxidable (316)",1513,1176
0-0219885-5,***INACTIVO***,22521,17731
0-0219885-7,Patch cord 7 ft GRis Cat6 Amp.,25042,19748
003231,Luminaria LED de emergencia Micky Ovlo 2x3W.,71933,56723
00405900,***INACTIVO***,26975,21261
00405902,Pulsador arranque 22MM Metalico Verde.,19244,15210
00405903,Pulsador arranque 22MM Metalico rojo.,19244,15210
0-0406339,Terminal para paneles.,924,756
0-0406339-1,Blank Insert Almond.,6891,5462
00432582,Selector de muletilla 2 Posiciones.,19748,15546
0-0557505-1,Face Plate 2 PTS almendra.,10000,7899
01.001.5553.0,Caja vacia para montaje en riel. Marca Wieland,5462,4286
01.001.5653.0,Caja vacia para montaje en riel,5462,4286
01.001.6253.0,Caja vacia para montaje en riel. Marca W,5462,4286
010123,"Ojo de buey 3.5"" Blanco con vidrio.",8571,6807
01021,"Sacabocado, PG11",292353,230336
01033,Sacabocados PG.13,292353,230336
01140.0-00,Termostato KTOD011 para resistencia NCO-60 o  C.. Marca Stego.,53866,42437
01141.0-00,Termostato. 120V.15 amp.temp. de regulaciî‰¢ 0-60C.IP20,42353,33361
0116-70MHLL,***INACTIVO***,113445,89328
01213,Kardan Sencilla recesada de sobreponer GU10 Color Negro.,60000,47311
012132BK,Cardan DOBLE reces BL  ref. DL213 173*93*25.,38319,30168
012132BL,Cardan DOBLE reces BL  ref. DL213 173*93*25.,43697,34370
012132GRNE,Luminaria de empotrar tipo Kardan. 2 luces GU10. Color negro.,81154,63939
012133BK,Cardan TRIPLE  reces BL  ref. DL213 253*93*2,59832,47143
012133BL,Cardan TRIPLE  reces BL  ref. DL213 253*93*2,69748,54958
01213BK,Cardan recesesada pc NEGRA ref. DL213 93*93*2.,21008,16555
01213BL,Cardan reces pc blanco ref. DL213 93*93*2,21008,16555
01213CUBBL,Cubo Blanco recesado.,50000,39412
01213CUBNE,Cubo para sobreponer 10x10 cms GU10. Color Negro.,48908,38487
01217BL,Bala PC217 Blanco.,13697,10840
01220.0-00,Higrostato mecanico MFR012.Stego,207731,163697
0122778032,Bala halogena redonda blanca,11008,8739
01230.9-01,Higrotermo electronico 0 a 60ï½° 120V.  Marca Stego.,391681,308571
0127778032-BL,Bala de sobreponer color blanca.,140000,0
0127778033-NG,Bala de sobreponer color negro.,140000,0
01302/06/30,Aplique de Exterior Redondo. E27. 60W. IP44. Negro.,62941,49664
01302/06/31,Aplique de Exterior Redondo. E27. 60W. IP44. Blanco.,84622,66723
0-1375014-2,Patch Panel 24 pts.cat 6 MOdular.,380840,300000
0-1375015-2,Patch panel 48 pts cat 6 MOdular.,669244,527311
0-1375055-1,Jack Cat.6 ALMENDRA AMP.,42017,33109
0-1375055-6,Jack Cat.6 Azul AMP.,15882,12521
0-1375055-7,Jack Cat.6 rojo AMP.,21008,16555
015009S-BL,BALA RECESADA REDONDA POLICARBOATO GU10.,29832,23529
01698,"Sacabocado, completo manual, diam.28.3,",0,0
0175-630701,Reflector de Exterior. 70W. Metal Halide. CWA. Incl. Bombilla. Philips,234706,184874
01801.0-01,Ventilador con filtro FF 018(5ï½¨ï½´)120v/60hz.,270840,213445
01802.0-01,"Ventilador FF018 (7"") 176x176mm. AC 120V Stego.",349076,275042
01831.0-00,Ventilador con filtro FFS 018 Plano 120x125 mm. 230V. 60Hz.,288487,227311
01DL015W30TLK,Bala blanca de incrustar ajustable telescopica . 5W. 3.000ï½°K.,196218,154622
01MZRN01CA-1W-BK,MINI BALA 1W 3ï½°K CHASIS NEGRO,17059,13445
01YM259PS,"Ojo de buey halogeno oval PS,YM259.",11429,8992
02.124.1029.0,Terminal hembra para 1.5 mm2 contacto in,2773,2185
02.215.4729.7,Contacto de engaste hembra.AWG 24-20,72857,57395
02003,Eje de traccion diam.19mm.Marca Alfra.Alemana,211597,166723
02006,"Punzonadora hidraulica manual con juego de troqueles hasta PG42, Marca",5230840,4121261
037LUK011,"Luminaria de Emergencia LED 65,5X250mm 2,4W AC 100-277V IP20.",54622,43025
037LUK013,Luminaria tipo bala de Emergencia. 3W.,151933,119748
038231,Marcador de clip calibre 12-10 #1,6975,5546
038232,Marcador de clip calibre 12-10 #2,6975,5546
038233,Marcador de clip calibre 12-10 #3,6975,5546
038234,Marcador de clip calibre 12-10 #4,6975,5546
038235,Marcador de clip calibre 12-10 #5,6975,5546
038236,Marcador de clip calibre 12-10 #6,6975,5546
038237,Marcador de clip calibre 12-10 #7,6975,5546
038238,Marcador de clip calibre 12-10 #8,6975,5546
038239,Marcador de clip calibre 12-10 #9,6975,5546
038365,Marcador de clip calibre 12-10 F,8067,6387
038377,Marcador de clip calibre 12-10 R,8067,6387
04.242.5053.0,"Marquillas en tira, sin numeraciî‰¢ ,para wk2.5/U.",840,672
04.841.1150.0,Tira marcacion sencilla,1765,1345
04.841.3550.0,Marquillas en tira letra N.,1597,1261
04.845.0153.0,Marquillas en tiras No.1-10 para WK2.5/,1765,1345
04.845.0253.0,Marquillas en tiras No.11-20 para WK2.5/,1765,1345
04.845.0353.0,Marquillas en tiras No.21-30 para WK2.5/,1765,1345
04.845.0453.0,Marquillas en tiras No.31-40 para WK2.5/,1597,1261
04.845.0553.0,Marquillas en tiraNo.41-50,1597,1261
04.845.0653.0,Marquillas en tira del 51-60.,1597,1261
04.845.0753.0,Marquillas en tira del 61-70.,1597,1261
04.845.0853.0,Marquillas en tira del 71-80.,1597,1261
04.845.0953.0,Marquillas en tira del 81-90.,1597,1261
04.845.1053.0,Marquillas en tira del 91-100.,1597,1261
04.845.1153.0,Marquillas en tira del 101-110.,1597,1261
04.845.1253.0,Marquillas en tira del 111-120.,1597,1261
04.845.1353.0,Marquillas en tira del 121 al 130.,1597,1261
04.845.1453.0,Marquillas en tira del 131-140.,1597,1261
04.846.0153.0,"Marquillas en tira.No.1-10, para WK4, en cajitas de 25 tiras.",1765,1345
04.846.0253.0,Rotulo marcacion 11-20 Wieland,1765,1345
04.846.0353.00,Rotulo marcacion 21-30 Wieland,1765,1345
04.846.0453.0,Tira de marcaciî‰¢ 31-40.,1765,1345
04100,"Pelacable para AWG 8-4/0, 16 MM,incluye",48151,37899
04101,Pelacable para AWG.4-500 MCM.Marca Alfra,31765,25042
04230210WCA-10W-3K,"Aplique exterior policarbonato integrado 10W. 3.000K, 120V. IP65.",69076,54454
04-242-6053,Tiras de marcaciî‰¢ x 10 blancas.,840,672
04402GU10,Bala de piso GU10 mini.,70588,55630
0457788032,"Chasis fluorescente 26W,32W.42W. redondo.blanco.",39496,31092
04690RS3WCA,Aplique de Exterior 3W. 3.000ï½°K. IP54.85-265V. Color Negro.,95966,75630
04811NR1090WCA,Poste Circle de 90 cms. 10W. 3.000ï½°K. IP65. Color Negro.,277692,218788
04811NR10WCA,Poste Circle 60 cms. 10W. 3.000ï½°K. IP65. Color Negro.,277500,218636
04GAAC108,Suplemento conico para cable No.16.,588,504
05.544.1029.0,"Terminal macho para 1.5 mm2, contacto in",2773,2185
05.544.4729.7,Cî‰¢tacto de engaste macho AWG 24-20,1597,1261
05.583.0053.0,Pie universal para riel DIN. Marca Wiela,6218,4874
05.583.0153.0,Soporte caja WEB con pie universal para,11597,9160
0515012,Tornillo tapado Drywall 6x1.,84,84
05DL50001616BAL,Perfil Aluminio Esquinero de 15.5x15.5mm x 3m,110084,86807
06.502.4000.0,Destornillador con punta delgada. marca Wieland Alemana.,25042,19748
06000,Interruptor sencillo Block Vimar. 10A.,4454,3529
06000.0-00,Resistencia de calefaccion protegida CS 060 50W.,139496,109916
06000L.110,Interruptor sencillo con luz piloto Incluida. Block Vimar. 10A.,8235,6471
06001,Interruptor sencillo conmutable. Block Vimar. 10A.,4706,3697
06001L.110,Interruptor Sencillo con luz piloto incluida. Block. Vimar.,8403,6639
06002,Timbre o pulsador. Block Vimar.,4958,3950
06002L.110,Timbre o pulsador con luz piloto incluida. Block Vimar.,6975,5462
06004,Salida de Cable. Block Vimar.,1933,1513
06010.0-00,Resistencia calefactora CS060 Stego 100W.,211597,166723
06031,Toma de TV coaxial. Block. Vimar.,4874,3782
06032,Toma doble coaxial. Block. Vimar.,8824,6975
06035,Toma telefonico RJ11 4 hilos. Block Vimar.,15126,11933
06047,Zumbador 110V. 60Hz. Block. Vimar.,23361,18487
06050,Interruptor doble. Block Vimar. 10A.,6723,5294
06050L.110,Interruptor doble con luz piloto incluida. Block Vimar. 10A.,14370,11345
06051,Interruptor sencillo + conmutable. Block Vimar. 10A.,7395,5882
06052,Interruptor doble conmutable. Block Vimar. 10A.,8403,6639
06057,Dimmer para cargas resistivas de 30-500W. + Inter. Conmutable.,33697,26555
06064,Toma corriente doble con polo a tierra. 15A.,6387,5042
